,appID,Score
108,15620,"(0.8441181913515, 0.8927749056634127)"
109,17390,"(0.8911316190542451, 0.9083296442103239)"
110,17480,"(0.8872246096240388, 0.875194133212938)"
111,1840,"(0.9164552103694386, 0.7913388286664057)"
112,1900,"(0.8723547623841823, 0.8954887989743828)"
113,1930,"(0.8799782808211237, 0.8914320854449659)"
114,200210,"(0.8414573367033442, 0.9179209099424641)"
115,200260,"(0.9040003042111705, 0.8978496690104257)"
116,200510,"(0.9113330606550643, 0.9297215435448464)"
117,200710,"(0.8572126241989768, 0.8316359098444768)"
118,201790,"(0.873508940468074, 0.8575773650179029)"
119,201810,"(0.8663928123339397, 0.8700569107106886)"
120,203160,"(0.8632396401708521, 0.8845034380148139)"
121,203290,"(0.904877201499846, 0.9266028357586014)"
122,203770,"(0.881711789077807, 0.9127476056637598)"
123,204100,"(0.8723308369143872, 0.784271308552531)"
124,204360,"(0.8728845812018242, 0.8841687395333651)"
125,204880,"(0.8660862462819156, 0.9075621020624487)"
126,20510,"(0.9068544209066032, 0.8629015348263904)"
127,205100,"(0.8398143598089961, 0.8965014287826403)"
128,205710,"(0.7840730652585761, 0.8649711524875884)"
129,206420,"(0.8720284391076403, 0.8052476910441322)"
130,207140,"(0.8655127447699605, 0.8870903654562277)"
131,207890,"(0.8190914272779, 0.9319020391113731)"
132,208580,"(0.8458753368711326, 0.89002969674293)"
133,208650,"(0.920611480006899, 0.9248794448526837)"
134,20900,"(0.8694099078498682, 0.8802447732167992)"
135,209000,"(0.8984638421003945, 0.8845236210972085)"
136,20920,"(0.8931949133712147, 0.8766127131174746)"
137,211420,"(0.8386615410290338, 0.8568499739550813)"
138,211500,"(0.892745362310922, 0.899026671355866)"
139,211820,"(0.8544926914490292, 0.918503053358198)"
140,212160,"(0.8598573736765261, 0.8591563255797284)"
141,212200,"(0.8831941616319411, 0.9062221725156493)"
142,212500,"(0.8904181995710522, 0.9198071936369832)"
143,212680,"(0.8783638407061033, 0.8809343360557125)"
144,212740,"(0.7741130582244264, 0.8796859960635476)"
145,212910,"(0.8811955116803224, 0.9128510332070453)"
146,213670,"(0.8533579866844043, 0.7816445483440726)"
147,214950,"(0.8357329637291145, 0.8579960134217756)"
148,215080,"(0.8832886762709806, 0.9092473292200705)"
149,215930,"(0.8433337439364017, 0.8896964263909259)"
150,216150,"(0.7686087591373215, 0.9552352997591232)"
151,21690,"(0.8798412234103701, 0.9081765418512898)"
152,217490,"(0.8979652012412342, 0.8151665662296337)"
153,218230,"(0.763802497030715, 0.9194416613246298)"
154,218510,"(0.8752220935785742, 0.8729610721590153)"
155,218620,"(0.8896913333027855, 0.8864702475623651)"
156,219150,"(0.8412496385042095, 0.8685439194053854)"
157,219740,"(0.8822259328843138, 0.9092227585110684)"
158,219990,"(0.9089141879159078, 0.8909937529436854)"
