,appID,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags,percentPos,hasMult,numLang,avMedDiff,sameDevPub
0,10,Counter-Strike,Valve,Valve,,179885.0,4659.0,0.0,"10,000,000 .. 20,000,000",11300.0,508.0,187.0,341.0,999.0,999.0,0.0,13161.0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,"{'Action': 5358, 'FPS': 4773, 'Multiplayer': 3331, 'Shooter': 3306, 'Classic': 2738, 'Team-Based': 1832, 'First-Person': 1679, 'Competitive': 1574, 'Tactical': 1313, ""1990's"": 1171, 'e-sports': 1165, 'PvP': 854, 'Old School': 734, 'Military': 616, 'Strategy': 603, 'Survival': 292, 'Score Attack': 283, '1980s': 252, 'Assassin': 222, 'Violent': 62}",0.974753988208774,True,8,11113.0,True
1,1007040,EARTH DEFENSE FORCE 5,SANDLOT,D3 PUBLISHER,,4898.0,268.0,0.0,"200,000 .. 500,000",2567.0,10.0,4114.0,10.0,5999.0,5999.0,0.0,844.0,"English, Japanese, Traditional Chinese, Korean",Action,"{'Action': 151, 'Online Co-Op': 52, 'Mechs': 51, 'Third-Person Shooter': 48, 'Co-op': 47, 'Aliens': 46, 'Shooter': 36, 'Sci-fi': 35, 'Local Co-Op': 34, 'Split Screen': 25, 'Funny': 24, 'Multiplayer': 23, 'Class-Based': 23, 'Difficult': 18, 'Anime': 15, 'Singleplayer': 10, 'Third Person': 10, 'Psychological Horror': 6}",0.9481223383662408,True,4,-1547.0,False
2,10090,Call of Duty: World at War,Treyarch,Activision,,34323.0,2461.0,0.0,"2,000,000 .. 5,000,000",2222.0,0.0,1087.0,0.0,1999.0,1999.0,0.0,564.0,"English, French, Italian, German, Spanish - Spain",Action,"{'Zombies': 1100, 'World War II': 813, 'FPS': 808, 'Multiplayer': 727, 'Action': 712, 'Shooter': 678, 'Co-op': 604, 'First-Person': 551, 'Moddable': 549, 'Singleplayer': 545, 'War': 487, 'Online Co-Op': 452, 'Gore': 374, 'Historical': 362, 'Classic': 307, 'Survival': 297, 'Great Soundtrack': 256, 'Tanks': 253, 'Adventure': 237, 'Horror': 231}",0.9330959112657677,True,5,1135.0,False
3,1009850,OVR Advanced Settings,OVRAS Team,OVRAS Team,,835.0,44.0,0.0,"200,000 .. 500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1558.0,English,Other,"{'VR': 73, 'Utilities': 65, 'Free to Play': 43, 'Software': 39, 'Indie': 36, 'VR Only': 1}",0.949943117178612,False,1,0.0,True
4,1011510,Wizard And Minion Idle,Oninou,Oninou,,453.0,45.0,0.0,"50,000 .. 100,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,English,Other,"{'Free to Play': 94, 'Idler': 88, 'RPG': 84, 'Clicker': 80, 'Strategy': 77, 'Casual': 71, 'Indie': 69, 'Singleplayer': 67, '2D': 65, 'Pixel Graphics': 62, 'Retro': 57, 'Simulation': 51, 'Management': 49, 'Dark Fantasy': 40, 'Procedural Generation': 32}",0.9096385542168675,False,1,0.0,True
5,1013320,Firestone Idle RPG,Holyday Studios,Holyday Studios,,2834.0,712.0,0.0,"200,000 .. 500,000",7775.0,3992.0,11633.0,3992.0,0.0,0.0,0.0,2191.0,"English, German, Spanish - Spain, Greek, Portuguese - Brazil, Russian, Simplified Chinese, French, Japanese, Korean, Polish, Traditional Chinese, Turkish, Danish, Finnish, Swedish",Adventure,"{'Strategy': 327, 'Action': 321, 'Adventure': 317, 'Free to Play': 314, 'RPG': 311, 'Indie': 305, 'Early Access': 303, 'Casual': 298, 'Simulation': 291, 'Survival': 291, 'Card Game': 280, 'Fantasy': 277, 'Co-op': 274, 'MMORPG': 271, 'Online Co-Op': 269, '2D': 261, 'Multiplayer': 260, 'Combat': 249, 'Dragons': 246, 'Clicker': 244}",0.7992103778905809,True,16,-3858.0,True
6,1017100,Territory Idle,Aleksandr Golovkin,Aleksandr Golovkin,,1023.0,232.0,0.0,"100,000 .. 200,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,"English, Russian",Other,"{'Idler': 47, 'Free to Play': 46, 'Strategy': 39, 'Clicker': 39, 'Indie': 37, 'Singleplayer': 23, 'Early Access': 10, 'Pixel Graphics': 7, '2D': 6, 'Retro': 6}",0.8151394422310757,False,2,0.0,True
7,1017180,The Long Drive,Genesz,Genesz,,4383.0,472.0,0.0,"200,000 .. 500,000",1289.0,309.0,1750.0,309.0,1199.0,1199.0,0.0,314.0,English,Action,"{'Automobile Sim': 275, 'Open World': 213, 'Driving': 205, 'Post-apocalyptic': 193, 'Survival': 177, 'Singleplayer': 170, 'Exploration': 170, 'Early Access': 169, 'First-Person': 164, 'Simulation': 162, 'Adventure': 157, 'Indie': 157, 'Realistic': 148, 'Horror': 144, 'Action': 139, 'Racing': 120, 'Sexual Content': 105, 'FPS': 101, 'Shooter': 99, 'Colorful': 98}",0.9027806385169928,False,1,-461.0,True
8,1017900,Age of Empires: Definitive Edition,"Forgotten Empires, Tantalus",Xbox Game Studios,,6164.0,1344.0,0.0,"500,000 .. 1,000,000",279.0,78.0,303.0,78.0,1999.0,1999.0,0.0,898.0,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Vietnamese",Strategy,"{'Strategy': 147, 'RTS': 77, 'Multiplayer': 61, 'City Builder': 59, 'Base-Building': 54, 'Historical': 51, 'Singleplayer': 51, 'Classic': 46, 'Remake': 29, 'Medieval': 25, 'Story Rich': 21, 'Great Soundtrack': 15, 'Co-op': 13, 'Real-Time': 13, 'Action': 11}",0.8209909429941395,True,13,-24.0,False
9,10180,Call of Duty: Modern Warfare 2,Infinity Ward,Activision,,39990.0,3159.0,0.0,"200,000 .. 500,000",1163.0,0.0,393.0,0.0,1999.0,1999.0,0.0,455.0,"English, French, German, Italian, Spanish - Spain",Action,"{'Action': 1734, 'FPS': 1402, 'Multiplayer': 1200, 'Shooter': 943, 'First-Person': 780, 'Singleplayer': 660, 'War': 618, 'Military': 570, 'Co-op': 488, 'Online Co-Op': 457, 'PvP': 405, 'Great Soundtrack': 311, 'Story Rich': 263, 'Atmospheric': 214, 'Adventure': 207, 'Tactical': 193, 'Linear': 167, 'Strategy': 148, 'Moddable': 134, 'Controller': 118}",0.9267885698393937,True,5,770.0,False
